Station Name,day,Avg Solar Radiation,Min Solar Radiation,Max Solar Radiation
Foster Weather Station,08/11/2020,504.15384615384613,394,821
63rd Street Weather Station,05/19/2016,470.64285714285717,3,910
Foster Weather Station,08/12/2020,463.0,410,819
Oak Street Weather Station,07/07/2018,454.25,-3,892
Oak Street Weather Station,05/21/2016,436.6,0,861
Oak Street Weather Station,05/19/2016,435.72727272727275,0,900
Oak Street Weather Station,05/27/2018,427.53333333333336,-6,835
63rd Street Weather Station,05/21/2016,424.7142857142857,2,863
Foster Weather Station,05/28/2015,417.0769230769231,0,836
Foster Weather Station,05/23/2015,413.26666666666665,0,846
63rd Street Weather Station,05/05/2018,405.375,2,796
Foster Weather Station,08/16/2021,401.6666666666667,2,793
Oak Street Weather Station,07/11/2018,389.3125,-4,824
63rd Street Weather Station,07/03/2016,384.22222222222223,2,881
63rd Street Weather Station,08/16/2021,383.3333333333333,0,757
Oak Street Weather Station,07/02/2018,380.0,-5,875
Oak Street Weather Station,05/23/2015,378.0,0,900
Oak Street Weather Station,05/05/2018,371.8125,0,853
Oak Street Weather Station,04/05/2016,371.6666666666667,2,819
Oak Street Weather Station,06/03/2018,370.06666666666666,-3,935
Oak Street Weather Station,08/22/2015,366.84615384615387,0,805
Oak Street Weather Station,08/16/2021,361.3333333333333,-3,788
Oak Street Weather Station,06/18/2016,356.93333333333334,-3,891
63rd Street Weather Station,06/11/2016,355.6666666666667,0,876
63rd Street Weather Station,07/01/2016,355.04761904761904,0,989
Oak Street Weather Station,07/06/2018,352.95,-4,982
Foster Weather Station,08/22/2015,348.46153846153845,0,726
63rd Street Weather Station,08/22/2015,348.0,0,939
63rd Street Weather Station,06/29/2016,339.30434782608694,1,925
Oak Street Weather Station,05/30/2019,338.8333333333333,-3,919
Oak Street Weather Station,07/17/2017,338.22222222222223,-3,930
Oak Street Weather Station,04/09/2016,335.8888888888889,3,850
63rd Street Weather Station,05/07/2017,334.17391304347825,3,914
63rd Street Weather Station,07/13/2020,333.2142857142857,0,805
